,index,epoch,low,high,open,close,volume,date
116,183,1623684600,40562.64,40722.25,40598.01,40567.12,192.53317974,2021-06-14 15:30:00
117,182,1623685500,40530.47,40700.04,40561.76,40682.32,261.88975342,2021-06-14 15:45:00
118,181,1623686400,40214.12,40743.85,40682.32,40541.12,484.96847949,2021-06-14 16:00:00
119,180,1623687300,40229.25,40598.4,40541.11,40278.32,324.53705803,2021-06-14 16:15:00
120,179,1623688200,39768.96,40337.91,40278.32,39860.83,663.69677719,2021-06-14 16:30:00
121,178,1623689100,39843.31,40191.22,39863.65,40175.95,372.33947495,2021-06-14 16:45:00
122,177,1623690000,39965.25,40210.81,40173.12,40051.13,234.80043719,2021-06-14 17:00:00
123,176,1623690900,39974.82,40211.58,40053.92,40096.86,176.6055311,2021-06-14 17:15:00
124,175,1623691800,40090.54,40331.87,40096.86,40279.24,211.24253909,2021-06-14 17:30:00
125,174,1623692700,40172.03,40279.24,40279.24,40239.3,146.46815663,2021-06-14 17:45:00
126,173,1623693600,40108.63,40272.84,40234.49,40128.81,235.20369326,2021-06-14 18:00:00
127,172,1623694500,40016.76,40168.75,40127.67,40020.0,156.59094552,2021-06-14 18:15:00
128,171,1623695400,39848.0,40071.23,40020.01,39902.51,228.01272103,2021-06-14 18:30:00
129,170,1623696300,39660.58,39956.78,39902.51,39745.01,300.71030544,2021-06-14 18:45:00
130,169,1623697200,39347.18,39854.18,39745.01,39489.01,429.4145101,2021-06-14 19:00:00
131,168,1623698100,39314.33,39587.84,39488.02,39491.0,321.51451552,2021-06-14 19:15:00
132,167,1623699000,39459.42,39780.36,39486.43,39701.01,181.91265699,2021-06-14 19:30:00
133,166,1623699900,39553.13,39799.34,39701.01,39718.78,188.1774628,2021-06-14 19:45:00
134,165,1623700800,39636.42,39994.9,39720.99,39919.57,252.93101799,2021-06-14 20:00:00
135,164,1623701700,39688.37,39924.73,39920.57,39786.48,151.87468396,2021-06-14 20:15:00
136,163,1623702600,39628.54,39800.0,39787.16,39799.99,163.62816065,2021-06-14 20:30:00
137,162,1623703500,39753.45,39909.27,39799.99,39847.36,226.32006725,2021-06-14 20:45:00
138,161,1623704400,39847.36,40347.0,39847.37,40159.4,341.14345873,2021-06-14 21:00:00
139,160,1623705300,39972.38,40217.24,40159.4,40078.23,188.96536935,2021-06-14 21:15:00
140,159,1623706200,40009.68,40240.53,40076.82,40150.36,219.33000017,2021-06-14 21:30:00
141,158,1623707100,40137.86,40308.07,40150.36,40291.51,125.22547997,2021-06-14 21:45:00
142,157,1623708000,40209.27,40439.74,40291.52,40250.0,183.05811162,2021-06-14 22:00:00
143,156,1623708900,40066.66,40302.45,40249.99,40171.38,121.13652698,2021-06-14 22:15:00
144,155,1623709800,40095.94,40360.42,40170.11,40196.9,145.34922965,2021-06-14 22:30:00
145,154,1623710700,40145.14,40283.23,40196.9,40195.57,116.01513352,2021-06-14 22:45:00
146,153,1623711600,40108.89,40312.08,40196.55,40276.24,90.33570753,2021-06-14 23:00:00
147,152,1623712500,40265.88,40500.0,40273.82,40493.33,315.40169092,2021-06-14 23:15:00
148,151,1623713400,40371.53,40517.0,40496.95,40487.78,114.06684133,2021-06-14 23:30:00
149,150,1623714300,40450.0,40611.87,40487.78,40539.47,239.13286944,2021-06-14 23:45:00
150,149,1623715200,40200.06,40676.54,40537.93,40446.62,236.46805446,2021-06-15 00:00:00
151,148,1623716100,40446.62,40850.0,40446.62,40730.54,313.16405725,2021-06-15 00:15:00
152,147,1623717000,40508.69,40734.66,40726.79,40600.17,128.57806752,2021-06-15 00:30:00
153,146,1623717900,40348.0,40600.18,40600.18,40377.16,164.04344237,2021-06-15 00:45:00
154,145,1623718800,40113.6,40462.77,40380.7,40214.39,220.40113899,2021-06-15 01:00:00
155,144,1623719700,40144.3,40267.03,40214.38,40241.72,103.22151326,2021-06-15 01:15:00
156,143,1623720600,40028.78,40237.81,40237.81,40078.88,97.55305672,2021-06-15 01:30:00
157,142,1623721500,39860.99,40150.72,40077.36,39942.56,151.36493402,2021-06-15 01:45:00
